time,energy
0.0,-1252.658373378177
0.2,-1238.7891912610512
0.4,-1233.144560263258
0.6,-1230.0521825688377
0.8,-1227.7427712913936
1.0,-1225.6962780146434
1.2,-1223.6999393535211
1.4000000000000001,-1221.5834632286837
1.6,-1219.119400215793
1.8,-1216.3388499917555
2.0,-1213.813781229272
2.2,-1211.643067187056
2.4,-1209.694264985912
2.6,-1207.605291198508
2.8000000000000003,-1205.915387968159
3.0,-1204.3875675465829
3.2,-1202.90618434875
3.4,-1201.4520066919697
3.6,-1200.0135659644575
3.8000000000000003,-1198.5811556674564
4.0,-1197.1429649535696
4.2,-1195.6797259302773
4.4,-1194.155294415114
4.6000000000000005,-1192.5131780742097
4.8,-1190.743680620372
5.0,-1188.983277383265
5.2,-1187.3393812228906
5.4,-1185.795652006549
5.6000000000000005,-1184.3292787197813
5.8,-1182.9312908440838
6.0,-1181.5903152772912
6.2,-1180.2926787749611
6.4,-1179.026805394578
6.6000000000000005,-1177.7845202101396
6.8,-1176.560435824575
7.0,-1175.3510256145905
7.2,-1174.1538913473034
7.4,-1172.9672406203867
7.6000000000000005,-1171.7895076831069
7.8,-1170.6190676071967
8.0,-1169.4539909761309
8.2,-1168.2917533260113
8.4,-1167.1287464626346
8.6,-1165.9593378319216
8.8,-1164.7740591152167
9.0,-1163.5563614024768
9.200000000000001,-1162.2815184824888
9.4,-1160.934701904475
9.6,-1159.5556468732884
9.8,-1158.2187554196687
10.0,-1156.9517581447542
10.200000000000001,-1155.7427154845482
10.4,-1154.5755814613547
10.6,-1153.4382523951947
10.8,-1152.3218354504354
11.0,-1151.219918294549
11.200000000000001,-1150.128020676128
11.4,-1149.0430652781217
11.6,-1147.962939372614
11.8,-1146.8861813851063
12.0,-1145.8117729013056
12.200000000000001,-1144.7390016047007
12.4,-1143.667365726266
12.6,-1142.5965013173957
12.8,-1141.5261238406454
13.0,-1140.455981783226
13.200000000000001,-1139.3858209502498
13.4,-1138.3153556075815
13.6,-1137.2442396990853
13.8,-1136.1720297901206
14.0,-1135.0981312712145
14.200000000000001,-1134.0217203935035
14.4,-1132.9416382946438
14.6,-1131.856263669414
14.8,-1130.7633928121052
15.0,-1129.6601763372983
15.200000000000001,-1128.5431037108817
15.4,-1127.4077765186369
15.6,-1126.2482856091701
15.8,-1125.0591016635265
16.0,-1123.8476462457847
16.2,-1122.6469078222453
16.4,-1121.4904512281178
16.6,-1120.3827583839068
16.8,-1119.3111413025104
17.0,-1118.2634579649819
17.2,-1117.2322269739157
17.400000000000002,-1116.213329875799
17.6,-1115.2045157646605
17.8,-1114.2045211633908
18.0,-1113.2126132870335
18.2,-1112.2283540150834
18.400000000000002,-1111.2514732707048
18.6,-1110.2817967097444
18.8,-1109.3192006203706
19.0,-1108.363580898227
19.2,-1107.4148302109827
19.400000000000002,-1106.4728211001252
19.6,-1105.537394117255
19.8,-1104.6083500740226
20.0,-1103.685444965184
20.2,-1102.768385727226
20.400000000000002,-1101.8568249308487
20.6,-1100.950352677246
20.8,-1100.0484842421874
21.0,-1099.1506424686374
21.2,-1098.2561350631584
21.400000000000002,-1097.364130042795
21.6,-1096.4736398991747
21.8,-1095.5835395547588
22.0,-1094.6926648022582
22.2,-1093.8000518484307
22.400000000000002,-1092.9053385297686
22.6,-1092.0091945508068
22.8,-1091.113435977303
23.0,-1090.2204999110104
23.2,-1089.3324211015122
23.400000000000002,-1088.4499156569152
23.6,-1087.5719830599737
23.8,-1086.6958186637507
