time,energy
0.0,-1252.6565871095454
0.03,-1252.6565872223912
0.06,-1252.656587489009
0.09,-1252.6565877554053
0.12,-1252.6565878772924
0.15,-1252.656587794274
0.18,-1252.656587558146
0.21,-1252.6565873029028
0.24,-1252.6565871710086
0.27,-1252.6565872315946
0.3,-1252.6565874376806
0.33,-1252.656587656958
0.36,-1252.6565877518954
0.39,-1252.6565876568968
0.42,-1252.656587417864
0.45,-1252.6565871599146
0.48,-1252.6565870195143
0.51,-1252.6565870748066
0.54,-1252.6565872952565
0.5700000000000001,-1252.6565875577817
0.6,-1252.6565877214953
0.63,-1252.6565877076603
0.66,-1252.6565875403473
0.6900000000000001,-1252.6565873278284
0.72,-1252.6565872029978
0.75,-1252.656587251492
0.78,-1252.656587458197
0.81,-1252.6565877121116
0.84,-1252.6565878716576
0.87,-1252.6565878373215
0.9,-1252.6565876148334
0.93,-1252.6565873129211
0.96,-1252.6565870847694
0.99,-1252.6565870446718
1.02,-1252.6565871987516
1.05,-1252.6565874405082
1.08,-1252.656587617016
1.11,-1252.6565876196878
1.1400000000000001,-1252.6565874436199
1.17,-1252.6565871877763
1.2,-1252.6565870006086
1.23,-1252.6565870000004
1.26,-1252.6565871986402
1.29,-1252.656587491372
1.32,-1252.6565877213366
1.35,-1252.6565877683702
1.3800000000000001,-1252.6565876173163
1.41,-1252.6565873620275
1.44,-1252.6565871500054
1.47,-1252.656587100266
1.5,-1252.6565872369424
1.53,-1252.6565874727755
1.56,-1252.6565876605396
1.59,-1252.656587686014
1.62,-1252.6565875316235
1.6500000000000001,-1252.6565872827073
1.68,-1252.6565870699646
1.71,-1252.6565870070135
1.74,-1252.656587127766
1.77,-1252.6565873619904
1.8,-1252.656587569755
1.83,-1252.656587623771
1.86,-1252.6565874844885
1.8900000000000001,-1252.6565872211047
1.92,-1252.6565869718581
1.95,-1252.656586868452
1.98,-1252.6565869623344
2.0100000000000002,-1252.6565871967318
2.04,-1252.6565874387352
2.07,-1252.6565875492076
2.1,-1252.656587464192
2.13,-1252.656587236379
2.16,-1252.6565870005945
2.19,-1252.6565868962873
2.22,-1252.6565869904662
2.25,-1252.656587240102
2.2800000000000002,-1252.6565875116835
2.31,-1252.656587652673
2.34,-1252.656587584667
2.37,-1252.6565873486911
2.4,-1252.6565870783131
2.43,-1252.656586922917
2.46,-1252.6565869638596
2.49,-1252.6565871611426
2.52,-1252.6565873838058
2.5500000000000003,-1252.656587485335
2.58,-1252.656587391682
2.61,-1252.6565871441617
2.64,-1252.6565868708683
2.67,-1252.6565867156728
2.7,-1252.656586758278
2.73,-1252.6565869707713
2.7600000000000002,-1252.656587231511
2.79,-1252.6565873903264
2.82,-1252.6565873569705
2.85,-1252.6565871568853
2.88,-1252.656586908306
2.91,-1252.6565867518334
2.94,-1252.6565867762067
2.97,-1252.656586968169
3.0,-1252.6565872221106
3.0300000000000002,-1252.656587394736
3.06,-1252.6565873857535
3.09,-1252.6565871986909
3.12,-1252.6565869391045
3.15,-1252.6565867547654
3.18,-1252.6565867499128
3.21,-1252.6565869280364
3.24,-1252.6565871975054
3.27,-1252.6565874140342
3.3000000000000003,-1252.6565874500639
3.33,-1252.6565872813128
3.36,-1252.6565870016439
3.39,-1252.6565867643073
3.42,-1252.6565866913909
3.45,-1252.656586805993
3.48,-1252.6565870230454
3.5100000000000002,-1252.6565871982525
3.54,-1252.6565872092458
3.5700000000000003,-1252.65658703006
3.6,-1252.6565867477775
3.63,-1252.6565865157224
3.66,-1252.6565864662612
3.69,-1252.6565866284213
3.72,-1252.656586912024
3.75,-1252.6565871658133
3.7800000000000002,-1252.6565872569001
3.81,-1252.6565871453586
3.84,-1252.6565869096792
3.87,-1252.6565867001764
3.9,-1252.6565866475407
3.93,-1252.65658678443
3.96,-1252.6565870325148
3.99,-1252.6565872487952
4.0200000000000005,-1252.6565873031545
4.05,-1252.6565871515452
4.08,-1252.6565868653333
4.11,-1252.656586583352
4.14,-1252.6565864409656
4.17,-1252.6565864959125
4.2,-1252.6565866991407
4.23,-1252.6565869237425
4.26,-1252.6565870345735
4.29,-1252.6565869646918
4.32,-1252.6565867562558
4.3500000000000005,-1252.656586537602
4.38,-1252.6565864462837
4.41,-1252.6565865473394
4.44,-1252.6565867973286
4.47,-1252.6565870729332
4.5,-1252.6565872331855
4.53,-1252.6565871925477
4.5600000000000005,-1252.6565869751157
4.59,-1252.6565867047925
4.62,-1252.6565865342504
4.65,-1252.6565865538769
4.68,-1252.656586739967
4.71,-1252.6565869736926
4.74,-1252.6565871109767
4.7700000000000005,-1252.6565870570148
4.8,-1252.6565868261628
4.83,-1252.6565865412233
4.86,-1252.6565863628334
4.89,-1252.6565863906199
4.92,-1252.6565865980497
4.95,-1252.656586859268
4.98,-1252.6565870238944
5.01,-1252.6565869969727
5.04,-1252.6565867887944
5.07,-1252.6565865131422
5.1000000000000005,-1252.6565863249973
5.13,-1252.6565863304809
5.16,-1252.6565865254295
5.19,-1252.6565867988174
5.22,-1252.6565869980534
5.25,-1252.656587018196
5.28,-1252.6565868579753
5.3100000000000005,-1252.6565866156757
5.34,-1252.6565864336242
5.37,-1252.6565864221234
5.4,-1252.6565865922726
5.43,-1252.6565868500081
5.46,-1252.6565870532834
5.49,-1252.6565870929885
5.5200000000000005,-1252.656586947227
5.55,-1252.6565866943713
5.58,-1252.6565864757606
5.61,-1252.6565864140457
5.64,-1252.6565865396647
5.67,-1252.6565867736883
5.7,-1252.6565869760586
5.73,-1252.6565870182537
5.76,-1252.6565868621565
5.79,-1252.656586583553
5.82,-1252.6565863336186
5.8500000000000005,-1252.6565862499315
